Date,EUR/USD
29-10-2009,1.484009743
30-10-2009,1.473296523
02-11-2009,1.477410436
03-11-2009,1.473101258
04-11-2009,1.48690033
05-11-2009,1.487807393
06-11-2009,1.484891295
09-11-2009,1.500802875
10-11-2009,1.498980761
11-11-2009,1.498396754
12-11-2009,1.485685468
13-11-2009,1.490890622
16-11-2009,1.498374343
17-11-2009,1.487696767
18-11-2009,1.49539423
19-11-2009,1.491624594
20-11-2009,1.486392021
23-11-2009,1.496199608
24-11-2009,1.496669888
25-11-2009,1.51279068
26-11-2009,1.497297406
27-11-2009,1.499093056
30-11-2009,1.503895044
01-12-2009,1.509001255
02-12-2009,1.50697732
03-12-2009,1.506545901
04-12-2009,1.485707402
07-12-2009,1.484119892
08-12-2009,1.469702005
09-12-2009,1.473795891
10-12-2009,1.472949266
11-12-2009,1.461902738
14-12-2009,1.465695381
15-12-2009,1.454207063
16-12-2009,1.452601671
17-12-2009,1.434699655
18-12-2009,1.43490541
21-12-2009,1.428673506
22-12-2009,1.425435543
23-12-2009,1.433609605
24-12-2009,1.438497066
25-12-2009,1.439905524
28-12-2009,1.43750453
29-12-2009,1.434308648
30-12-2009,1.43420577
31-12-2009,1.432705879
01-01-2010,1.438993812
04-01-2010,1.442397833
05-01-2010,1.436595917
06-01-2010,1.440403342
07-01-2010,1.431803226
08-01-2010,1.441109061
11-01-2010,1.451126099
12-01-2010,1.447659969
13-01-2010,1.452390552
14-01-2010,1.449989796
15-01-2010,1.439097404
18-01-2010,1.440673113
19-01-2010,1.428102136
20-01-2010,1.411034226
21-01-2010,1.409701586
22-01-2010,1.414107084
25-01-2010,1.415007591
26-01-2010,1.40823245
27-01-2010,1.403095126
28-01-2010,1.396804214
29-01-2010,1.386693239
01-02-2010,1.39269948
02-02-2010,1.397624016
03-02-2010,1.390105247
04-02-2010,1.374494791
05-02-2010,1.368007779
08-02-2010,1.36546731
09-02-2010,1.378207803
10-02-2010,1.375326633
11-02-2010,1.368176222
12-02-2010,1.3634938
15-02-2010,1.36030364
16-02-2010,1.376708865
17-02-2010,1.360692263
18-02-2010,1.34614861
19-02-2010,1.361507416
22-02-2010,1.360562682
23-02-2010,1.352704048
24-02-2010,1.354316235
25-02-2010,1.353601217
26-02-2010,1.363103509
01-03-2010,1.356208086
02-03-2010,1.362063885
03-03-2010,1.370163321
04-03-2010,1.358400345
05-03-2010,1.362899184
08-03-2010,1.361692786
09-03-2010,1.360692263
10-03-2010,1.364331007
11-03-2010,1.368531942
12-03-2010,1.376993179
15-03-2010,1.367745757
16-03-2010,1.376879454
17-03-2010,1.373833895
18-03-2010,1.361396313
19-03-2010,1.353692889
22-03-2010,1.356704831
23-03-2010,1.346801281
24-03-2010,1.333102226
25-03-2010,1.330707431
26-03-2010,1.341003895
29-03-2010,1.348108649
30-03-2010,1.342407942
31-03-2010,1.350803733
01-04-2010,1.358400345
02-04-2010,1.35049367
05-04-2010,1.348908782
06-04-2010,1.340195179
07-04-2010,1.334846139
08-04-2010,1.33611238
09-04-2010,1.35009253
12-04-2010,1.359600782
13-04-2010,1.360858917
14-04-2010,1.365597844
15-04-2010,1.35740459
16-04-2010,1.350402474
19-04-2010,1.348726749
20-04-2010,1.343508244
21-04-2010,1.338992834
22-04-2010,1.326999187
23-04-2010,1.338401437
26-04-2010,1.340123296
27-04-2010,1.317071915
28-04-2010,1.321283221
29-04-2010,1.326295137
30-04-2010,1.329804897
03-05-2010,1.319992661
04-05-2010,1.296394706
05-05-2010,1.28149271
06-05-2010,1.263296127
07-05-2010,1.275607824
10-05-2010,1.27792263
11-05-2010,1.262993097
12-05-2010,1.263902903
13-05-2010,1.254107237
14-05-2010,1.236002326
17-05-2010,1.239295602
18-05-2010,1.217893362
19-05-2010,1.239341617
20-05-2010,1.247894168
21-05-2010,1.256707668
24-05-2010,1.234994888
25-05-2010,1.234598398
26-05-2010,1.217300296
27-05-2010,1.234796643
28-05-2010,1.227400541
31-05-2010,1.228788018
01-06-2010,1.223301411
02-06-2010,1.223900318
03-06-2010,1.216944695
04-06-2010,1.197103024
07-06-2010,1.192292929
08-06-2010,1.197203279
09-06-2010,1.199198961
10-06-2010,1.210903049
11-06-2010,1.211401701
14-06-2010,1.221806884
15-06-2010,1.231906414
16-06-2010,1.231193542
17-06-2010,1.238206148
18-06-2010,1.239295602
21-06-2010,1.231602907
22-06-2010,1.227505922
23-06-2010,1.231906414
24-06-2010,1.233745337
25-06-2010,1.237302184
28-06-2010,1.227701783
29-06-2010,1.218635321
30-06-2010,1.223002315
01-07-2010,1.250750422
02-07-2010,1.257102609
05-07-2010,1.253698349
06-07-2010,1.262403131
07-07-2010,1.263312101
08-07-2010,1.26940608
09-07-2010,1.264398336
12-07-2010,1.259001851
13-07-2010,1.27208662
14-07-2010,1.274047613
15-07-2010,1.292858243
16-07-2010,1.293192625
19-07-2010,1.29394567
20-07-2010,1.289307714
21-07-2010,1.276796818
22-07-2010,1.290305972
23-07-2010,1.291305661
26-07-2010,1.299899936
27-07-2010,1.299089313
28-07-2010,1.299224377
29-07-2010,1.307805061
30-07-2010,1.303900003
02-08-2010,1.317592502
03-08-2010,1.322506428
04-08-2010,1.322506428
05-08-2010,1.315806866
06-08-2010,1.318130851
09-08-2010,1.32856822
10-08-2010,1.322996378
11-08-2010,1.31849587
12-08-2010,1.284406066
13-08-2010,1.282988906
16-08-2010,1.277090311
17-08-2010,1.281197071
18-08-2010,1.287995815
19-08-2010,1.285644531
20-08-2010,1.280803323
23-08-2010,1.271003366
24-08-2010,1.263503671
25-08-2010,1.263296127
26-08-2010,1.26639986
27-08-2010,1.270648003
30-08-2010,1.275396347
31-08-2010,1.266592264
01-09-2010,1.268729568
02-09-2010,1.280295014
03-09-2010,1.282593966
06-09-2010,1.289407492
07-09-2010,1.28683567
08-09-2010,1.267796636
09-09-2010,1.273204088
10-09-2010,1.269309402
13-09-2010,1.271698356
14-09-2010,1.287200093
15-09-2010,1.299173713
16-09-2010,1.301507115
17-09-2010,1.307599783
20-09-2010,1.304393172
21-09-2010,1.30669415
22-09-2010,1.325697303
23-09-2010,1.339100361
24-09-2010,1.331912637
27-09-2010,1.347908735
28-09-2010,1.343905449
29-09-2010,1.357091546
30-09-2010,1.362806201
01-10-2010,1.3622123
04-10-2010,1.377695084
05-10-2010,1.36740911
06-10-2010,1.383393764
07-10-2010,1.392001629
08-10-2010,1.392796397
11-10-2010,1.397760749
12-10-2010,1.38802135
13-10-2010,1.391691566
14-10-2010,1.396726012
15-10-2010,1.407202005
18-10-2010,1.396433473
19-10-2010,1.393592238
20-10-2010,1.373909473
21-10-2010,1.396316528
22-10-2010,1.391691566
25-10-2010,1.394408464
26-10-2010,1.394894719
27-10-2010,1.38542521
28-10-2010,1.377808928
29-10-2010,1.377808928
01-11-2010,1.397506833
02-11-2010,1.391091466
03-11-2010,1.403607249
04-11-2010,1.412728667
05-11-2010,1.422798991
08-11-2010,1.407578468
09-11-2010,1.386962533
10-11-2010,1.377201796
11-11-2010,1.377562284
12-11-2010,1.36210084
15-11-2010,1.369319081
16-11-2010,1.35747838
17-11-2010,1.349054337
18-11-2010,1.355399251
19-11-2010,1.365728498
22-11-2010,1.374438167
23-11-2010,1.360192657
24-11-2010,1.338634253
25-11-2010,1.33579123
26-11-2010,1.333973646
29-11-2010,1.323801994
30-11-2010,1.310392737
01-12-2010,1.299207449
02-12-2010,1.31249094
03-12-2010,1.321597576
06-12-2010,1.341597557
07-12-2010,1.32869184
08-12-2010,1.324468136
09-12-2010,1.325082421
10-12-2010,1.32420516
13-12-2010,1.319713831
14-12-2010,1.339548826
15-12-2010,1.336094618
16-12-2010,1.322401404
17-12-2010,1.323994756
20-12-2010,1.316499591
21-12-2010,1.311802268
22-12-2010,1.309003353
23-12-2010,1.31154418
24-12-2010,1.312714934
27-12-2010,1.307976007
28-12-2010,1.318965435
29-12-2010,1.308626533
30-12-2010,1.322453976
31-12-2010,1.330123305
03-01-2011,1.33579123
04-01-2011,1.33568418
05-01-2011,1.332107782
06-01-2011,1.31568563
07-01-2011,1.297993302
10-01-2011,1.28950727
11-01-2011,1.296495676
12-01-2011,1.298397779
13-01-2011,1.312835574
14-01-2011,1.335327387
17-01-2011,1.338025331
18-01-2011,1.32839179
19-01-2011,1.337810516
20-01-2011,1.345206976
21-01-2011,1.346801281
24-01-2011,1.361952543
25-01-2011,1.364405394
26-01-2011,1.368606925
27-01-2011,1.371008635
28-01-2011,1.372306824
31-01-2011,1.357275724
01-02-2011,1.37138474
02-02-2011,1.38299191
03-02-2011,1.381788015
04-02-2011,1.36245358
07-02-2011,1.357496738
08-02-2011,1.359194279
09-02-2011,1.36269486
10-02-2011,1.372099757
11-02-2011,1.360192657
14-02-2011,1.351004362
15-02-2011,1.348108649
16-02-2011,1.349855542
17-02-2011,1.357533574
18-02-2011,1.362601995
21-02-2011,1.37134707
22-02-2011,1.368232369
23-02-2011,1.367371798
24-02-2011,1.376405597
25-02-2011,1.381998062
28-02-2011,1.373437762
01-03-2011,1.382150888
02-03-2011,1.377182841
03-03-2011,1.386654854
04-03-2011,1.395887733
07-03-2011,1.399070978
08-03-2011,1.396394491
09-03-2011,1.389796138
10-03-2011,1.390221238
11-03-2011,1.38012898
14-03-2011,1.39345634
15-03-2011,1.39920795
16-03-2011,1.398620963
17-03-2011,1.388483882
