Date,USD/EUR
30-10-2009,0.678749979
02-11-2009,0.676859975
03-11-2009,0.678839982
04-11-2009,0.672540009
05-11-2009,0.672129989
06-11-2009,0.673449993
09-11-2009,0.666310012
10-11-2009,0.66711998
11-11-2009,0.667379975
12-11-2009,0.673089981
13-11-2009,0.670740008
16-11-2009,0.667389989
17-11-2009,0.672179997
18-11-2009,0.668720007
19-11-2009,0.670409977
20-11-2009,0.672770023
23-11-2009,0.668359995
24-11-2009,0.668150008
25-11-2009,0.661029994
26-11-2009,0.667869985
27-11-2009,0.667069972
30-11-2009,0.66494
01-12-2009,0.662689984
02-12-2009,0.66358
03-12-2009,0.66377002
04-12-2009,0.673080027
07-12-2009,0.673799992
08-12-2009,0.680410028
09-12-2009,0.678520024
10-12-2009,0.678910017
11-12-2009,0.68404001
14-12-2009,0.68226999
15-12-2009,0.687659979
16-12-2009,0.688419998
17-12-2009,0.697009981
18-12-2009,0.696910024
21-12-2009,0.69994998
22-12-2009,0.701539993
23-12-2009,0.697539985
24-12-2009,0.695169985
25-12-2009,0.694490016
28-12-2009,0.695649981
29-12-2009,0.6972
30-12-2009,0.697250009
31-12-2009,0.697979987
01-01-2010,0.694930017
04-01-2010,0.693289995
05-01-2010,0.696089983
06-01-2010,0.694249988
07-01-2010,0.698419988
08-01-2010,0.693910003
11-01-2010,0.689119995
12-01-2010,0.69076997
13-01-2010,0.688520014
14-01-2010,0.689660013
15-01-2010,0.694880009
18-01-2010,0.69411999
19-01-2010,0.700230002
20-01-2010,0.708700001
21-01-2010,0.709370017
22-01-2010,0.707159996
25-01-2010,0.706709981
26-01-2010,0.710110009
27-01-2010,0.712710023
28-01-2010,0.715919971
29-01-2010,0.721140027
01-02-2010,0.718029976
02-02-2010,0.715499997
03-02-2010,0.719370008
04-02-2010,0.727540016
05-02-2010,0.730989993
08-02-2010,0.732349992
09-02-2010,0.725579977
10-02-2010,0.727100015
11-02-2010,0.73089999
12-02-2010,0.733410001
15-02-2010,0.735130012
16-02-2010,0.726369977
17-02-2010,0.734920025
18-02-2010,0.742860019
19-02-2010,0.734480023
22-02-2010,0.734990001
23-02-2010,0.739260018
24-02-2010,0.738380015
25-02-2010,0.738770008
26-02-2010,0.733619988
01-03-2010,0.737349987
02-03-2010,0.734179974
03-03-2010,0.729839981
04-03-2010,0.73615998
05-03-2010,0.733730018
08-03-2010,0.734380007
09-03-2010,0.734920025
10-03-2010,0.732959986
11-03-2010,0.73071003
12-03-2010,0.726220012
15-03-2010,0.731130004
16-03-2010,0.726279974
17-03-2010,0.727890015
18-03-2010,0.734539986
19-03-2010,0.73872
22-03-2010,0.737079978
23-03-2010,0.742500007
24-03-2010,0.750129998
25-03-2010,0.751479983
26-03-2010,0.745710015
29-03-2010,0.741779983
30-03-2010,0.744930029
31-03-2010,0.7403
01-04-2010,0.73615998
02-04-2010,0.740469992
05-04-2010,0.741339982
06-04-2010,0.746159971
07-04-2010,0.749149978
08-04-2010,0.748440027
09-04-2010,0.740689993
12-04-2010,0.735509992
13-04-2010,0.734830022
14-04-2010,0.732280016
15-04-2010,0.736699998
16-04-2010,0.74052
19-04-2010,0.741439998
20-04-2010,0.744319975
21-04-2010,0.746829987
22-04-2010,0.753579974
23-04-2010,0.747160017
26-04-2010,0.746200025
27-04-2010,0.759259999
28-04-2010,0.756839991
29-04-2010,0.753979981
30-04-2010,0.75199002
03-05-2010,0.757579982
04-05-2010,0.771369994
05-05-2010,0.780340016
06-05-2010,0.791580021
07-05-2010,0.783940017
10-05-2010,0.782519996
11-05-2010,0.791769981
12-05-2010,0.791199982
13-05-2010,0.797379971
14-05-2010,0.809059978
17-05-2010,0.806909978
18-05-2010,0.821089983
19-05-2010,0.806879997
20-05-2010,0.801349998
21-05-2010,0.795729995
24-05-2010,0.80971998
25-05-2010,0.809979975
26-05-2010,0.82148999
27-05-2010,0.809849977
28-05-2010,0.814729989
31-05-2010,0.813809991
01-06-2010,0.817460001
02-06-2010,0.817059994
03-06-2010,0.821730018
04-06-2010,0.835349977
07-06-2010,0.838720024
08-06-2010,0.835280001
09-06-2010,0.833890021
10-06-2010,0.825829983
11-06-2010,0.825489998
14-06-2010,0.818459988
15-06-2010,0.811749995
16-06-2010,0.812219977
17-06-2010,0.807619989
18-06-2010,0.806909978
21-06-2010,0.811950028
22-06-2010,0.814660013
23-06-2010,0.811749995
24-06-2010,0.81054002
25-06-2010,0.808210015
28-06-2010,0.814530015
29-06-2010,0.820590019
30-06-2010,0.817659974
01-07-2010,0.799520016
02-07-2010,0.795480013
05-07-2010,0.797640026
06-07-2010,0.792140007
07-07-2010,0.791570008
08-07-2010,0.787769973
09-07-2010,0.790889978
12-07-2010,0.794279993
13-07-2010,0.786109984
14-07-2010,0.78490001
15-07-2010,0.773479998
16-07-2010,0.773280025
19-07-2010,0.772830009
20-07-2010,0.77561003
21-07-2010,0.78320998
22-07-2010,0.77500999
23-07-2010,0.774410009
26-07-2010,0.76928997
27-07-2010,0.769770026
28-07-2010,0.769689977
29-07-2010,0.764639974
30-07-2010,0.766929984
02-08-2010,0.758960009
03-08-2010,0.756139994
04-08-2010,0.756139994
05-08-2010,0.759989977
06-08-2010,0.758650005
09-08-2010,0.752690017
10-08-2010,0.755859971
11-08-2010,0.758440018
12-08-2010,0.778569996
13-08-2010,0.779429972
16-08-2010,0.783029974
17-08-2010,0.780520022
18-08-2010,0.77640003
19-08-2010,0.777819991
20-08-2010,0.78075999
23-08-2010,0.78678
24-08-2010,0.791450024
25-08-2010,0.791580021
26-08-2010,0.789640009
27-08-2010,0.787
30-08-2010,0.784070015
31-08-2010,0.789520025
01-09-2010,0.788190007
02-09-2010,0.781069994
03-09-2010,0.77967
06-09-2010,0.775550008
07-09-2010,0.777100027
08-09-2010,0.78877002
09-09-2010,0.785420001
10-09-2010,0.787829995
13-09-2010,0.786350012
14-09-2010,0.776880026
15-09-2010,0.769720018
16-09-2010,0.768339992
17-09-2010,0.764760017
20-09-2010,0.766640007
21-09-2010,0.765290022
22-09-2010,0.754320025
23-09-2010,0.746770024
24-09-2010,0.750800014
27-09-2010,0.741890013
28-09-2010,0.744099975
29-09-2010,0.736869991
30-09-2010,0.733780026
01-10-2010,0.734099984
04-10-2010,0.725849986
05-10-2010,0.73131001
06-10-2010,0.722859979
07-10-2010,0.718389988
08-10-2010,0.717980027
11-10-2010,0.715430021
12-10-2010,0.720449984
13-10-2010,0.718550026
14-10-2010,0.715960026
15-10-2010,0.71063
18-10-2010,0.716109991
19-10-2010,0.717570007
20-10-2010,0.72785002
21-10-2010,0.716170013
22-10-2010,0.718550026
25-10-2010,0.717149973
26-10-2010,0.716899991
27-10-2010,0.721800029
28-10-2010,0.725790024
29-10-2010,0.725790024
01-11-2010,0.715560019
02-11-2010,0.718859971
03-11-2010,0.712450027
04-11-2010,0.707849979
05-11-2010,0.702839971
08-11-2010,0.71043998
09-11-2010,0.721000016
10-11-2010,0.726109982
11-11-2010,0.725920022
12-11-2010,0.734160006
15-11-2010,0.730289996
16-11-2010,0.736660004
17-11-2010,0.741259992
18-11-2010,0.737789989
19-11-2010,0.73220998
22-11-2010,0.727569997
23-11-2010,0.735189974
24-11-2010,0.74703002
25-11-2010,0.748619974
26-11-2010,0.749639988
29-11-2010,0.755400002
30-11-2010,0.763130009
01-12-2010,0.769699991
02-12-2010,0.761910021
03-12-2010,0.756659985
06-12-2010,0.745379984
07-12-2010,0.752619982
08-12-2010,0.755020022
09-12-2010,0.754670024
10-12-2010,0.755169988
13-12-2010,0.757740021
14-12-2010,0.746519983
15-12-2010,0.748449981
16-12-2010,0.756200016
17-12-2010,0.755289972
20-12-2010,0.75959003
21-12-2010,0.762310028
22-12-2010,0.763939977
23-12-2010,0.762459993
24-12-2010,0.761780024
27-12-2010,0.764540017
28-12-2010,0.758170009
29-12-2010,0.764159977
30-12-2010,0.756169975
31-12-2010,0.751810014
03-01-2011,0.748619974
04-01-2011,0.748679996
05-01-2011,0.750689983
06-01-2011,0.760060012
07-01-2011,0.770420015
10-01-2011,0.775489986
11-01-2011,0.771309972
12-01-2011,0.770179987
13-01-2011,0.761709988
14-01-2011,0.748880029
17-01-2011,0.747370005
18-01-2011,0.752789974
19-01-2011,0.747489989
20-01-2011,0.74338001
21-01-2011,0.742500007
24-01-2011,0.734239995
25-01-2011,0.732919991
26-01-2011,0.730669975
27-01-2011,0.729390025
28-01-2011,0.728699982
31-01-2011,0.736769974
01-02-2011,0.729189992
02-02-2011,0.723070025
03-02-2011,0.723699987
04-02-2011,0.733969986
07-02-2011,0.73664999
08-02-2011,0.735729992
09-02-2011,0.733839989
10-02-2011,0.728810012
11-02-2011,0.735189974
14-02-2011,0.740190029
15-02-2011,0.741779983
16-02-2011,0.740819991
17-02-2011,0.736630023
18-02-2011,0.733889997
21-02-2011,0.729210019
22-02-2011,0.730870008
23-02-2011,0.731329978
24-02-2011,0.726530015
25-02-2011,0.723590016
28-02-2011,0.728100002
01-03-2011,0.723510027
02-03-2011,0.726119995
03-03-2011,0.721159995
04-03-2011,0.716390014
07-03-2011,0.714760005
08-03-2011,0.716130018
09-03-2011,0.719529986
10-03-2011,0.719309986
11-03-2011,0.724569976
14-03-2011,0.717639983
15-03-2011,0.71469003
16-03-2011,0.71499002
17-03-2011,0.720210016
18-03-2011,0.712610006
21-03-2011,0.705690026
22-03-2011,0.703379989
23-03-2011,0.70581001
24-03-2011,0.708920002
25-03-2011,0.705619991
28-03-2011,0.712960005
29-03-2011,0.710240006
30-03-2011,0.708660007
31-03-2011,0.708150029
01-04-2011,0.706279993
04-04-2011,0.703069985
05-04-2011,0.703230023
06-04-2011,0.703279972
07-04-2011,0.69757998
08-04-2011,0.699199975
11-04-2011,0.691460013
12-04-2011,0.692619979
13-04-2011,0.690779984
14-04-2011,0.692420006
15-04-2011,0.692900002
18-04-2011,0.69382
19-04-2011,0.703040004
20-04-2011,0.697449982
21-04-2011,0.688989997
22-04-2011,0.687049985
25-04-2011,0.686950028
26-04-2011,0.68592
27-04-2011,0.680830002
28-04-2011,0.676590025
29-04-2011,0.673669994
02-05-2011,0.675949991
03-05-2011,0.674589992
04-05-2011,0.674160004
05-05-2011,0.674319983
06-05-2011,0.687550008
09-05-2011,0.696720004
10-05-2011,0.695599973
11-05-2011,0.693910003
12-05-2011,0.703679979
13-05-2011,0.70235002
16-05-2011,0.710330009
17-05-2011,0.706309974
18-05-2011,0.700820029
19-05-2011,0.701499999
20-05-2011,0.698509991
23-05-2011,0.708930016
24-05-2011,0.712419987
25-05-2011,0.70927
26-05-2011,0.709980011
27-05-2011,0.707459986
30-05-2011,0.699429989
31-05-2011,0.698210001
01-06-2011,0.693099976
02-06-2011,0.697109997
03-06-2011,0.690320015
06-06-2011,0.682359993
07-06-2011,0.68572998
08-06-2011,0.680920005
