Date,Crude_Oil
09-11-2009,79.43000031
10-11-2009,79.05000305
11-11-2009,79.27999878
12-11-2009,76.94000244
13-11-2009,76.34999847
16-11-2009,78.90000153
17-11-2009,79.13999939
18-11-2009,79.58000183
19-11-2009,77.45999908
20-11-2009,76.72000122
23-11-2009,77.55999756
24-11-2009,76.01999664
25-11-2009,77.95999908
27-11-2009,76.05000305
30-11-2009,77.27999878
01-12-2009,78.37000275
02-12-2009,76.59999847
03-12-2009,76.45999908
04-12-2009,75.47000122
07-12-2009,73.93000031
08-12-2009,72.62000275
09-12-2009,70.66999817
10-12-2009,70.54000092
11-12-2009,69.87000275
14-12-2009,69.51000214
15-12-2009,70.69000244
16-12-2009,72.66000366
17-12-2009,72.65000153
18-12-2009,73.36000061
21-12-2009,72.47000122
22-12-2009,74.40000153
23-12-2009,76.66999817
24-12-2009,78.05000305
28-12-2009,78.76999664
29-12-2009,78.87000275
30-12-2009,79.27999878
31-12-2009,79.36000061
04-01-2010,81.51000214
05-01-2010,81.76999664
06-01-2010,83.18000031
07-01-2010,82.66000366
08-01-2010,82.75
11-01-2010,82.51999664
12-01-2010,80.79000092
13-01-2010,79.65000153
14-01-2010,79.38999939
15-01-2010,78
19-01-2010,79.01999664
20-01-2010,77.62000275
21-01-2010,76.08000183
22-01-2010,74.54000092
25-01-2010,75.26000214
26-01-2010,74.70999908
27-01-2010,73.66999817
28-01-2010,73.63999939
29-01-2010,72.88999939
01-02-2010,74.43000031
02-02-2010,77.23000336
03-02-2010,76.98000336
04-02-2010,73.13999939
05-02-2010,71.19000244
08-02-2010,71.88999939
09-02-2010,73.75
10-02-2010,74.51999664
11-02-2010,75.27999878
12-02-2010,74.12999725
16-02-2010,77.01000214
17-02-2010,77.33000183
18-02-2010,79.05999756
19-02-2010,79.80999756
22-02-2010,80.16000366
23-02-2010,78.86000061
24-02-2010,80
25-02-2010,78.16999817
26-02-2010,79.66000366
01-03-2010,78.69999695
02-03-2010,79.68000031
03-03-2010,80.87000275
04-03-2010,80.20999908
05-03-2010,81.5
08-03-2010,81.87000275
09-03-2010,81.48999786
10-03-2010,82.08999634
11-03-2010,82.11000061
12-03-2010,81.23999786
15-03-2010,79.80000305
16-03-2010,81.69999695
17-03-2010,82.93000031
18-03-2010,82.19999695
19-03-2010,80.68000031
22-03-2010,81.25
23-03-2010,81.91000366
24-03-2010,80.61000061
25-03-2010,80.52999878
26-03-2010,80
29-03-2010,82.16999817
30-03-2010,82.37000275
31-03-2010,83.76000214
01-04-2010,84.87000275
05-04-2010,86.62000275
06-04-2010,86.83999634
07-04-2010,85.87999725
08-04-2010,85.38999939
09-04-2010,84.91999817
12-04-2010,84.33999634
13-04-2010,84.05000305
14-04-2010,85.83999634
15-04-2010,85.51000214
16-04-2010,83.23999786
19-04-2010,81.44999695
20-04-2010,83.44999695
21-04-2010,83.68000031
22-04-2010,83.69999695
23-04-2010,85.12000275
26-04-2010,84.19999695
27-04-2010,82.44000244
28-04-2010,83.22000122
29-04-2010,85.16999817
30-04-2010,86.15000153
03-05-2010,86.19000244
04-05-2010,82.73999786
05-05-2010,79.97000122
06-05-2010,77.11000061
07-05-2010,75.11000061
10-05-2010,76.80000305
11-05-2010,76.37000275
12-05-2010,75.65000153
13-05-2010,74.40000153
14-05-2010,71.61000061
17-05-2010,70.08000183
18-05-2010,69.41000366
19-05-2010,69.87000275
20-05-2010,68.01000214
21-05-2010,70.04000092
24-05-2010,70.20999908
25-05-2010,68.75
26-05-2010,71.51000214
27-05-2010,74.55000305
28-05-2010,73.97000122
01-06-2010,72.58000183
02-06-2010,72.86000061
03-06-2010,74.61000061
04-06-2010,71.51000214
07-06-2010,71.44000244
08-06-2010,71.98999786
09-06-2010,74.37999725
10-06-2010,75.48000336
11-06-2010,73.77999878
14-06-2010,75.12000275
15-06-2010,76.94000244
16-06-2010,77.66999817
17-06-2010,76.79000092
18-06-2010,77.18000031
21-06-2010,77.81999969
22-06-2010,77.20999908
23-06-2010,76.34999847
24-06-2010,76.51000214
25-06-2010,78.86000061
28-06-2010,78.25
29-06-2010,75.94000244
30-06-2010,75.62999725
01-07-2010,72.94999695
02-07-2010,72.13999939
06-07-2010,71.98000336
07-07-2010,74.06999969
08-07-2010,75.44000244
09-07-2010,76.08999634
12-07-2010,74.94999695
13-07-2010,77.15000153
14-07-2010,77.04000092
15-07-2010,76.62000275
16-07-2010,76.01000214
19-07-2010,76.54000092
20-07-2010,77.44000244
21-07-2010,76.55999756
22-07-2010,79.30000305
23-07-2010,78.98000336
26-07-2010,78.98000336
27-07-2010,77.5
28-07-2010,76.98999786
29-07-2010,78.36000061
30-07-2010,78.94999695
02-08-2010,81.33999634
03-08-2010,82.55000305
04-08-2010,82.47000122
05-08-2010,82.01000214
06-08-2010,80.69999695
09-08-2010,81.48000336
10-08-2010,80.25
11-08-2010,78.01999664
12-08-2010,75.73999786
13-08-2010,75.38999939
16-08-2010,75.23999786
17-08-2010,75.76999664
18-08-2010,75.41999817
19-08-2010,74.43000031
20-08-2010,73.45999908
23-08-2010,73.09999847
24-08-2010,71.62999725
25-08-2010,72.51999664
26-08-2010,73.36000061
27-08-2010,75.16999817
30-08-2010,74.69999695
31-08-2010,71.91999817
01-09-2010,73.91000366
02-09-2010,75.01999664
03-09-2010,74.59999847
07-09-2010,74.08999634
08-09-2010,74.66999817
09-09-2010,74.25
10-09-2010,76.44999695
13-09-2010,77.19000244
14-09-2010,76.80000305
15-09-2010,76.01999664
16-09-2010,74.56999969
17-09-2010,73.66000366
20-09-2010,74.86000061
21-09-2010,73.51999664
22-09-2010,74.70999908
23-09-2010,75.18000031
24-09-2010,76.48999786
27-09-2010,76.51999664
28-09-2010,76.18000031
29-09-2010,77.86000061
30-09-2010,79.97000122
01-10-2010,81.58000183
04-10-2010,81.47000122
05-10-2010,82.81999969
06-10-2010,83.23000336
07-10-2010,81.66999817
08-10-2010,82.66000366
11-10-2010,82.20999908
12-10-2010,81.66999817
13-10-2010,83.01000214
14-10-2010,82.69000244
15-10-2010,81.25
18-10-2010,83.08000183
19-10-2010,79.48999786
20-10-2010,81.76999664
21-10-2010,80.55999756
22-10-2010,81.69000244
25-10-2010,82.51999664
26-10-2010,82.55000305
27-10-2010,81.94000244
28-10-2010,82.18000031
29-10-2010,81.43000031
01-11-2010,82.94999695
02-11-2010,83.90000153
03-11-2010,84.69000244
04-11-2010,86.48999786
05-11-2010,86.84999847
08-11-2010,87.05999756
09-11-2010,86.72000122
10-11-2010,87.80999756
11-11-2010,87.80999756
12-11-2010,84.87999725
15-11-2010,84.86000061
16-11-2010,82.33999634
17-11-2010,80.44000244
18-11-2010,81.84999847
19-11-2010,81.51000214
22-11-2010,81.73999786
23-11-2010,81.25
24-11-2010,83.86000061
26-11-2010,83.76000214
29-11-2010,85.73000336
30-11-2010,84.11000061
01-12-2010,86.75
02-12-2010,88
03-12-2010,89.19000244
06-12-2010,89.37999725
07-12-2010,88.69000244
08-12-2010,88.27999878
09-12-2010,88.37000275
10-12-2010,87.79000092
13-12-2010,88.61000061
14-12-2010,88.27999878
15-12-2010,88.62000275
16-12-2010,87.69999695
17-12-2010,88.01999664
20-12-2010,88.80999756
21-12-2010,89.81999969
22-12-2010,90.48000336
23-12-2010,91.51000214
27-12-2010,91
28-12-2010,91.48999786
29-12-2010,91.12000275
30-12-2010,89.83999634
31-12-2010,91.37999725
03-01-2011,91.55000305
04-01-2011,89.37999725
05-01-2011,90.30000305
06-01-2011,88.37999725
07-01-2011,88.02999878
10-01-2011,89.25
11-01-2011,91.11000061
12-01-2011,91.86000061
13-01-2011,91.40000153
14-01-2011,91.54000092
18-01-2011,91.37999725
19-01-2011,90.86000061
20-01-2011,88.86000061
21-01-2011,89.11000061
24-01-2011,87.87000275
25-01-2011,86.19000244
26-01-2011,87.33000183
27-01-2011,85.63999939
28-01-2011,89.33999634
31-01-2011,92.19000244
01-02-2011,90.76999664
02-02-2011,90.86000061
03-02-2011,90.54000092
04-02-2011,89.02999878
07-02-2011,87.48000336
08-02-2011,86.94000244
09-02-2011,86.70999908
10-02-2011,86.73000336
11-02-2011,85.58000183
14-02-2011,84.80999756
15-02-2011,84.31999969
16-02-2011,84.98999786
17-02-2011,86.36000061
18-02-2011,86.19999695
22-02-2011,93.56999969
23-02-2011,98.09999847
24-02-2011,97.27999878
25-02-2011,97.87999725
28-02-2011,96.97000122
01-03-2011,99.62999725
02-03-2011,102.2300034
03-03-2011,101.9100037
04-03-2011,104.4199982
07-03-2011,105.4400024
08-03-2011,105.0199966
09-03-2011,104.3799973
10-03-2011,102.6999969
11-03-2011,101.1600037
14-03-2011,101.1900024
15-03-2011,97.18000031
16-03-2011,97.98000336
17-03-2011,101.4199982
18-03-2011,101.0699997
21-03-2011,102.3300018
22-03-2011,104
23-03-2011,105.75
24-03-2011,105.5999985
25-03-2011,105.4000015
28-03-2011,103.9800034
29-03-2011,104.7900009
30-03-2011,104.2699966
31-03-2011,106.7200012
01-04-2011,107.9400024
04-04-2011,108.4700012
05-04-2011,108.3399963
06-04-2011,108.8300018
07-04-2011,110.3000031
08-04-2011,112.7900009
11-04-2011,109.9199982
12-04-2011,106.25
13-04-2011,107.1100006
14-04-2011,108.1100006
15-04-2011,109.6600037
18-04-2011,107.1200027
19-04-2011,108.1500015
20-04-2011,111.4499969
21-04-2011,112.2900009
25-04-2011,112.2799988
26-04-2011,112.2099991
27-04-2011,112.7600021
28-04-2011,112.8600006
29-04-2011,113.9300003
02-05-2011,113.5199966
03-05-2011,111.0500031
04-05-2011,109.2399979
05-05-2011,99.80000305
06-05-2011,97.18000031
09-05-2011,102.5500031
10-05-2011,103.8799973
11-05-2011,98.20999908
12-05-2011,98.97000122
13-05-2011,99.65000153
16-05-2011,97.37000275
17-05-2011,96.91000366
18-05-2011,100.0999985
19-05-2011,98.44000244
20-05-2011,99.48999786
23-05-2011,97.69999695
24-05-2011,99.58999634
25-05-2011,101.3199997
26-05-2011,100.2300034
27-05-2011,100.5899963
31-05-2011,102.6999969
01-06-2011,100.2900009
02-06-2011,100.4000015
03-06-2011,100.2200012
06-06-2011,99.01000214
07-06-2011,99.08999634
08-06-2011,100.7399979
09-06-2011,101.9300003
10-06-2011,99.29000092
13-06-2011,97.30000305
14-06-2011,99.37000275
15-06-2011,94.80999756
16-06-2011,94.94999695
17-06-2011,93.01000214
20-06-2011,93.26000214
21-06-2011,93.40000153
22-06-2011,95.41000366
23-06-2011,91.01999664
24-06-2011,91.16000366
27-06-2011,90.61000061
28-06-2011,92.88999939
29-06-2011,94.76999664
30-06-2011,95.41999817
01-07-2011,94.94000244
05-07-2011,96.88999939
06-07-2011,96.65000153
07-07-2011,98.66999817
08-07-2011,96.19999695
11-07-2011,95.15000153
12-07-2011,97.43000031
13-07-2011,98.05000305
14-07-2011,95.69000244
15-07-2011,97.23999786
18-07-2011,95.93000031
19-07-2011,97.5
20-07-2011,98.13999939
21-07-2011,99.12999725
22-07-2011,99.87000275
25-07-2011,99.19999695
26-07-2011,99.58999634
27-07-2011,97.40000153
28-07-2011,97.44000244
29-07-2011,95.69999695
01-08-2011,94.88999939
02-08-2011,93.79000092
03-08-2011,91.93000031
04-08-2011,86.62999725
05-08-2011,86.87999725
08-08-2011,81.30999756
09-08-2011,79.30000305
10-08-2011,82.88999939
11-08-2011,85.72000122
12-08-2011,85.37999725
15-08-2011,87.87999725
16-08-2011,86.65000153
17-08-2011,87.58000183
18-08-2011,82.37999725
19-08-2011,82.26000214
22-08-2011,84.12000275
23-08-2011,85.44000244
24-08-2011,85.16000366
25-08-2011,85.30000305
26-08-2011,85.37000275
29-08-2011,87.26999664
30-08-2011,88.90000153
31-08-2011,88.80999756
01-09-2011,88.93000031
02-09-2011,86.44999695
06-09-2011,86.01999664
07-09-2011,89.33999634
08-09-2011,89.05000305
09-09-2011,87.23999786
12-09-2011,88.19000244
13-09-2011,90.20999908
14-09-2011,88.91000366
15-09-2011,89.40000153
16-09-2011,87.95999908
19-09-2011,85.69999695
20-09-2011,86.88999939
21-09-2011,85.91999817
22-09-2011,80.51000214
23-09-2011,79.84999847
26-09-2011,80.23999786
27-09-2011,84.44999695
28-09-2011,81.20999908
